[graph] 63905 segments Overture
[graph] 73034 arêtes, 61085 nœuds (34804 segments exclus)
[route] plus court chemin : 7415 m, pente max 9.3%
[route] palier +0% : 7415 m (+0.0%), pente max 9.3%, raide 158 m, D+ 82 m, douceur 720  [1 plus courts chemins]
[route] palier +1% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502  [50 plus courts chemins]
[route] palier +2% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [82 plus courts chemins]
[route] palier +3% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [114 plus courts chemins]
[route] palier +4% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [146 plus courts chemins]
[route] palier +5% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [178 plus courts chemins]
[route] palier +6% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [210 plus courts chemins]
[route] palier +7% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [242 plus courts chemins]
[route] palier +8% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [274 plus courts chemins]
[route] palier +9% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [306 plus courts chemins]
[route] palier +10% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [338 plus courts chemins]
[route] palier +11% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [370 plus courts chemins]
[route] palier +12% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [402 plus courts chemins]
[route] palier +13% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [434 plus courts chemins]
[route] palier +14% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [466 plus courts chemins]
[route] palier +15% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [498 plus courts chemins]
[route] palier +16% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [530 plus courts chemins]
[route] palier +17% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [562 plus courts chemins]
[route] palier +18% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [594 plus courts chemins]
[route] palier +19% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [626 plus courts chemins]
[route] palier +20% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [658 plus courts chemins]
[route] palier +21% : 7471 m (+0.8%), pente max 7.2%, raide 40 m, D+ 82 m, douceur 502 — identique au palier +1%  [690 plus courts chemins]
